activation_month,observation_month,months_since_activation,prior_revenue_lifecycle_state,revenue_lifecycle_state,persona,initial_subscription_group,segment_level,companies,transition_rate_from_prior_state_pct
2025-10-01,2025-11-01,1,Active,Active,Cleaning_CallCenters,start,persona_x_initial_plan,2,100.0
2025-10-01,2025-11-01,1,Active,Active,Consultant,business,persona_x_initial_plan,2,100.0
2025-10-01,2025-11-01,1,Active,Active,Consultant,free,persona_x_initial_plan,77,96.25
2025-10-01,2025-11-01,1,Active,At-risk,Consultant,free,persona_x_initial_plan,3,3.75
2025-10-01,2025-11-01,1,Active,Active,Consultant,plus,persona_x_initial_plan,15,100.0
2025-10-01,2025-11-01,1,Active,Active,Consultant,start,persona_x_initial_plan,103,98.1
2025-10-01,2025-11-01,1,Active,At-risk,Consultant,start,persona_x_initial_plan,2,1.9
2025-10-01,2025-11-01,1,Active,Active,Developer_IT,free,persona_x_initial_plan,31,88.57
2025-10-01,2025-11-01,1,Active,At-risk,Developer_IT,free,persona_x_initial_plan,4,11.43
2025-10-01,2025-11-01,1,Active,Active,Developer_IT,plus,persona_x_initial_plan,12,92.31
2025-10-01,2025-11-01,1,Active,At-risk,Developer_IT,plus,persona_x_initial_plan,1,7.69
2025-10-01,2025-11-01,1,Active,Active,Developer_IT,start,persona_x_initial_plan,41,97.62
2025-10-01,2025-11-01,1,Active,At-risk,Developer_IT,start,persona_x_initial_plan,1,2.38
2025-10-01,2025-11-01,1,Never monetized,Never monetized,Developer_IT,start,persona_x_initial_plan,1,100.0
2025-10-01,2025-11-01,1,Active,Active,Media_Publishing,free,persona_x_initial_plan,14,93.33
2025-10-01,2025-11-01,1,Active,At-risk,Media_Publishing,free,persona_x_initial_plan,1,6.67
2025-10-01,2025-11-01,1,Active,Active,Media_Publishing,plus,persona_x_initial_plan,1,100.0
2025-10-01,2025-11-01,1,Active,Active,Media_Publishing,start,persona_x_initial_plan,17,94.44
2025-10-01,2025-11-01,1,Active,At-risk,Media_Publishing,start,persona_x_initial_plan,1,5.56
2025-10-01,2025-11-01,1,Active,Active,Medical_Professionals,free,persona_x_initial_plan,5,100.0
2025-10-01,2025-11-01,1,Active,Active,Medical_Professionals,plus,persona_x_initial_plan,1,100.0
2025-10-01,2025-11-01,1,Active,Active,Medical_Professionals,start,persona_x_initial_plan,8,100.0
2025-10-01,2025-11-01,1,Active,Active,Others,business,persona_x_initial_plan,5,83.33
2025-10-01,2025-11-01,1,Active,At-risk,Others,business,persona_x_initial_plan,1,16.67
2025-10-01,2025-11-01,1,Active,Active,Others,free,persona_x_initial_plan,58,98.31
2025-10-01,2025-11-01,1,Active,At-risk,Others,free,persona_x_initial_plan,1,1.69
2025-10-01,2025-11-01,1,Active,Active,Others,plus,persona_x_initial_plan,32,94.12
2025-10-01,2025-11-01,1,Active,At-risk,Others,plus,persona_x_initial_plan,2,5.88
2025-10-01,2025-11-01,1,Active,Active,Others,start,persona_x_initial_plan,90,97.83
2025-10-01,2025-11-01,1,Active,At-risk,Others,start,persona_x_initial_plan,2,2.17
2025-10-01,2025-11-01,1,Active,Active,Professeur,free,persona_x_initial_plan,12,100.0
2025-10-01,2025-11-01,1,Active,Active,Professeur,plus,persona_x_initial_plan,1,100.0
2025-10-01,2025-11-01,1,Active,Active,Professeur,start,persona_x_initial_plan,21,100.0
2025-10-01,2025-11-01,1,Active,Active,Repair,free,persona_x_initial_plan,3,100.0
2025-10-01,2025-11-01,1,Active,Active,Repair,plus,persona_x_initial_plan,1,100.0
2025-10-01,2025-11-01,1,Active,Active,Repair,start,persona_x_initial_plan,4,100.0
2025-10-01,2025-11-01,1,Active,Active,Restauration,free,persona_x_initial_plan,9,100.0
2025-10-01,2025-11-01,1,Active,Active,Restauration,plus,persona_x_initial_plan,11,91.67
2025-10-01,2025-11-01,1,Active,At-risk,Restauration,plus,persona_x_initial_plan,1,8.33
2025-10-01,2025-11-01,1,Active,Active,Restauration,start,persona_x_initial_plan,7,100.0
2025-10-01,2025-11-01,1,Active,At-risk,Retail,business,persona_x_initial_plan,1,100.0
2025-10-01,2025-11-01,1,Active,Active,Retail,free,persona_x_initial_plan,48,97.96
2025-10-01,2025-11-01,1,Active,At-risk,Retail,free,persona_x_initial_plan,1,2.04
2025-10-01,2025-11-01,1,Active,Active,Retail,plus,persona_x_initial_plan,25,100.0
2025-10-01,2025-11-01,1,Active,Active,Retail,start,persona_x_initial_plan,82,100.0
2025-10-01,2025-11-01,1,Active,Active,Wholesale,business,persona_x_initial_plan,1,100.0
2025-10-01,2025-11-01,1,Active,Active,Wholesale,free,persona_x_initial_plan,6,100.0
2025-10-01,2025-11-01,1,Active,Active,Wholesale,plus,persona_x_initial_plan,3,100.0
2025-10-01,2025-11-01,1,Active,Active,Wholesale,start,persona_x_initial_plan,13,100.0
2025-10-01,2025-12-01,2,Active,Active,ALL,business,initial_plan,22,88.0
2025-10-01,2025-12-01,2,Active,At-risk,ALL,business,initial_plan,3,12.0
2025-10-01,2025-12-01,2,At-risk,At-risk,ALL,business,initial_plan,3,100.0
2025-10-01,2025-12-01,2,Active,Active,ALL,free,initial_plan,374,95.65
2025-10-01,2025-12-01,2,Active,At-risk,ALL,free,initial_plan,17,4.35
2025-10-01,2025-12-01,2,At-risk,Active,ALL,free,initial_plan,3,17.65
2025-10-01,2025-12-01,2,At-risk,At-risk,ALL,free,initial_plan,14,82.35
2025-10-01,2025-12-01,2,Never monetized,Never monetized,ALL,free,initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,ALL,plus,initial_plan,183,91.5
2025-10-01,2025-12-01,2,Active,At-risk,ALL,plus,initial_plan,17,8.5
2025-10-01,2025-12-01,2,At-risk,Active,ALL,plus,initial_plan,1,9.09
2025-10-01,2025-12-01,2,At-risk,At-risk,ALL,plus,initial_plan,10,90.91
2025-10-01,2025-12-01,2,Active,Active,ALL,start,initial_plan,516,96.09
2025-10-01,2025-12-01,2,Active,At-risk,ALL,start,initial_plan,21,3.91
2025-10-01,2025-12-01,2,At-risk,Active,ALL,start,initial_plan,2,20.0
2025-10-01,2025-12-01,2,At-risk,At-risk,ALL,start,initial_plan,8,80.0
2025-10-01,2025-12-01,2,Never monetized,Never monetized,ALL,start,initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,ALL,ALL,overall,1095,94.97
2025-10-01,2025-12-01,2,Active,At-risk,ALL,ALL,overall,58,5.03
2025-10-01,2025-12-01,2,At-risk,Active,ALL,ALL,overall,6,14.63
2025-10-01,2025-12-01,2,At-risk,At-risk,ALL,ALL,overall,35,85.37
2025-10-01,2025-12-01,2,Never monetized,Never monetized,ALL,ALL,overall,2,100.0
2025-10-01,2025-12-01,2,Active,Active,Automobile_Trade_Repair,ALL,persona,49,92.45
2025-10-01,2025-12-01,2,Active,At-risk,Automobile_Trade_Repair,ALL,persona,4,7.55
2025-10-01,2025-12-01,2,Active,Active,BTP,ALL,persona,218,95.2
2025-10-01,2025-12-01,2,Active,At-risk,BTP,ALL,persona,11,4.8
2025-10-01,2025-12-01,2,At-risk,At-risk,BTP,ALL,persona,11,100.0
2025-10-01,2025-12-01,2,Active,Active,Bankers_Insurance,ALL,persona,13,92.86
2025-10-01,2025-12-01,2,Active,At-risk,Bankers_Insurance,ALL,persona,1,7.14
2025-10-01,2025-12-01,2,At-risk,Active,Bankers_Insurance,ALL,persona,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Bikers_Drivers,ALL,persona,82,89.13
2025-10-01,2025-12-01,2,Active,At-risk,Bikers_Drivers,ALL,persona,10,10.87
2025-10-01,2025-12-01,2,At-risk,Active,Bikers_Drivers,ALL,persona,1,14.29
2025-10-01,2025-12-01,2,At-risk,At-risk,Bikers_Drivers,ALL,persona,6,85.71
2025-10-01,2025-12-01,2,Never monetized,Never monetized,Bikers_Drivers,ALL,persona,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Cleaning_CallCenters,ALL,persona,6,100.0
2025-10-01,2025-12-01,2,Active,Active,Consultant,ALL,persona,192,97.46
2025-10-01,2025-12-01,2,Active,At-risk,Consultant,ALL,persona,5,2.54
2025-10-01,2025-12-01,2,At-risk,Active,Consultant,ALL,persona,2,40.0
2025-10-01,2025-12-01,2,At-risk,At-risk,Consultant,ALL,persona,3,60.0
2025-10-01,2025-12-01,2,Active,Active,Developer_IT,ALL,persona,79,94.05
2025-10-01,2025-12-01,2,Active,At-risk,Developer_IT,ALL,persona,5,5.95
2025-10-01,2025-12-01,2,At-risk,At-risk,Developer_IT,ALL,persona,6,100.0
2025-10-01,2025-12-01,2,Never monetized,Never monetized,Developer_IT,ALL,persona,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Media_Publishing,ALL,persona,32,100.0
2025-10-01,2025-12-01,2,At-risk,Active,Media_Publishing,ALL,persona,1,50.0
2025-10-01,2025-12-01,2,At-risk,At-risk,Media_Publishing,ALL,persona,1,50.0
2025-10-01,2025-12-01,2,Active,Active,Medical_Professionals,ALL,persona,14,100.0
2025-10-01,2025-12-01,2,Active,Active,Others,ALL,persona,176,95.14
2025-10-01,2025-12-01,2,Active,At-risk,Others,ALL,persona,9,4.86
2025-10-01,2025-12-01,2,At-risk,At-risk,Others,ALL,persona,6,100.0
2025-10-01,2025-12-01,2,Active,Active,Professeur,ALL,persona,32,94.12
2025-10-01,2025-12-01,2,Active,At-risk,Professeur,ALL,persona,2,5.88
2025-10-01,2025-12-01,2,Active,Active,Repair,ALL,persona,7,87.5
2025-10-01,2025-12-01,2,Active,At-risk,Repair,ALL,persona,1,12.5
2025-10-01,2025-12-01,2,Active,Active,Restauration,ALL,persona,26,96.3
2025-10-01,2025-12-01,2,Active,At-risk,Restauration,ALL,persona,1,3.7
2025-10-01,2025-12-01,2,At-risk,Active,Restauration,ALL,persona,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Retail,ALL,persona,149,96.13
2025-10-01,2025-12-01,2,Active,At-risk,Retail,ALL,persona,6,3.87
2025-10-01,2025-12-01,2,At-risk,At-risk,Retail,ALL,persona,2,100.0
2025-10-01,2025-12-01,2,Active,Active,Wholesale,ALL,persona,20,86.96
2025-10-01,2025-12-01,2,Active,At-risk,Wholesale,ALL,persona,3,13.04
2025-10-01,2025-12-01,2,Active,Active,Automobile_Trade_Repair,business,persona_x_initial_plan,5,100.0
2025-10-01,2025-12-01,2,Active,Active,Automobile_Trade_Repair,free,persona_x_initial_plan,14,93.33
2025-10-01,2025-12-01,2,Active,At-risk,Automobile_Trade_Repair,free,persona_x_initial_plan,1,6.67
2025-10-01,2025-12-01,2,Active,Active,Automobile_Trade_Repair,plus,persona_x_initial_plan,10,90.91
2025-10-01,2025-12-01,2,Active,At-risk,Automobile_Trade_Repair,plus,persona_x_initial_plan,1,9.09
2025-10-01,2025-12-01,2,Active,Active,Automobile_Trade_Repair,start,persona_x_initial_plan,20,90.91
2025-10-01,2025-12-01,2,Active,At-risk,Automobile_Trade_Repair,start,persona_x_initial_plan,2,9.09
2025-10-01,2025-12-01,2,Active,Active,BTP,business,persona_x_initial_plan,6,85.71
2025-10-01,2025-12-01,2,Active,At-risk,BTP,business,persona_x_initial_plan,1,14.29
2025-10-01,2025-12-01,2,At-risk,At-risk,BTP,business,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,BTP,free,persona_x_initial_plan,68,98.55
2025-10-01,2025-12-01,2,Active,At-risk,BTP,free,persona_x_initial_plan,1,1.45
2025-10-01,2025-12-01,2,At-risk,At-risk,BTP,free,persona_x_initial_plan,4,100.0
2025-10-01,2025-12-01,2,Active,Active,BTP,plus,persona_x_initial_plan,58,90.63
2025-10-01,2025-12-01,2,Active,At-risk,BTP,plus,persona_x_initial_plan,6,9.38
2025-10-01,2025-12-01,2,At-risk,At-risk,BTP,plus,persona_x_initial_plan,4,100.0
2025-10-01,2025-12-01,2,Active,Active,BTP,start,persona_x_initial_plan,86,96.63
2025-10-01,2025-12-01,2,Active,At-risk,BTP,start,persona_x_initial_plan,3,3.37
2025-10-01,2025-12-01,2,At-risk,At-risk,BTP,start,persona_x_initial_plan,2,100.0
2025-10-01,2025-12-01,2,Active,Active,Bankers_Insurance,free,persona_x_initial_plan,7,100.0
2025-10-01,2025-12-01,2,At-risk,Active,Bankers_Insurance,free,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Bankers_Insurance,start,persona_x_initial_plan,6,85.71
2025-10-01,2025-12-01,2,Active,At-risk,Bankers_Insurance,start,persona_x_initial_plan,1,14.29
2025-10-01,2025-12-01,2,Active,Active,Bikers_Drivers,business,persona_x_initial_plan,4,80.0
2025-10-01,2025-12-01,2,Active,At-risk,Bikers_Drivers,business,persona_x_initial_plan,1,20.0
2025-10-01,2025-12-01,2,Active,Active,Bikers_Drivers,free,persona_x_initial_plan,30,90.91
2025-10-01,2025-12-01,2,Active,At-risk,Bikers_Drivers,free,persona_x_initial_plan,3,9.09
2025-10-01,2025-12-01,2,At-risk,Active,Bikers_Drivers,free,persona_x_initial_plan,1,50.0
2025-10-01,2025-12-01,2,At-risk,At-risk,Bikers_Drivers,free,persona_x_initial_plan,1,50.0
2025-10-01,2025-12-01,2,Never monetized,Never monetized,Bikers_Drivers,free,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Bikers_Drivers,plus,persona_x_initial_plan,19,82.61
2025-10-01,2025-12-01,2,Active,At-risk,Bikers_Drivers,plus,persona_x_initial_plan,4,17.39
2025-10-01,2025-12-01,2,At-risk,At-risk,Bikers_Drivers,plus,persona_x_initial_plan,3,100.0
2025-10-01,2025-12-01,2,Active,Active,Bikers_Drivers,start,persona_x_initial_plan,29,93.55
2025-10-01,2025-12-01,2,Active,At-risk,Bikers_Drivers,start,persona_x_initial_plan,2,6.45
2025-10-01,2025-12-01,2,At-risk,At-risk,Bikers_Drivers,start,persona_x_initial_plan,2,100.0
2025-10-01,2025-12-01,2,Active,Active,Cleaning_CallCenters,free,persona_x_initial_plan,4,100.0
2025-10-01,2025-12-01,2,Active,Active,Cleaning_CallCenters,start,persona_x_initial_plan,2,100.0
2025-10-01,2025-12-01,2,Active,Active,Consultant,business,persona_x_initial_plan,1,50.0
2025-10-01,2025-12-01,2,Active,At-risk,Consultant,business,persona_x_initial_plan,1,50.0
2025-10-01,2025-12-01,2,Active,Active,Consultant,free,persona_x_initial_plan,75,97.4
2025-10-01,2025-12-01,2,Active,At-risk,Consultant,free,persona_x_initial_plan,2,2.6
2025-10-01,2025-12-01,2,At-risk,Active,Consultant,free,persona_x_initial_plan,1,33.33
2025-10-01,2025-12-01,2,At-risk,At-risk,Consultant,free,persona_x_initial_plan,2,66.67
2025-10-01,2025-12-01,2,Active,Active,Consultant,plus,persona_x_initial_plan,15,100.0
2025-10-01,2025-12-01,2,Active,Active,Consultant,start,persona_x_initial_plan,101,98.06
2025-10-01,2025-12-01,2,Active,At-risk,Consultant,start,persona_x_initial_plan,2,1.94
2025-10-01,2025-12-01,2,At-risk,Active,Consultant,start,persona_x_initial_plan,1,50.0
2025-10-01,2025-12-01,2,At-risk,At-risk,Consultant,start,persona_x_initial_plan,1,50.0
2025-10-01,2025-12-01,2,Active,Active,Developer_IT,free,persona_x_initial_plan,28,90.32
2025-10-01,2025-12-01,2,Active,At-risk,Developer_IT,free,persona_x_initial_plan,3,9.68
2025-10-01,2025-12-01,2,At-risk,At-risk,Developer_IT,free,persona_x_initial_plan,4,100.0
2025-10-01,2025-12-01,2,Active,Active,Developer_IT,plus,persona_x_initial_plan,12,100.0
2025-10-01,2025-12-01,2,At-risk,At-risk,Developer_IT,plus,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Developer_IT,start,persona_x_initial_plan,39,95.12
2025-10-01,2025-12-01,2,Active,At-risk,Developer_IT,start,persona_x_initial_plan,2,4.88
2025-10-01,2025-12-01,2,At-risk,At-risk,Developer_IT,start,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Never monetized,Never monetized,Developer_IT,start,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Media_Publishing,free,persona_x_initial_plan,14,100.0
2025-10-01,2025-12-01,2,At-risk,At-risk,Media_Publishing,free,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Media_Publishing,plus,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Media_Publishing,start,persona_x_initial_plan,17,100.0
2025-10-01,2025-12-01,2,At-risk,Active,Media_Publishing,start,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Medical_Professionals,free,persona_x_initial_plan,5,100.0
2025-10-01,2025-12-01,2,Active,Active,Medical_Professionals,plus,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Medical_Professionals,start,persona_x_initial_plan,8,100.0
2025-10-01,2025-12-01,2,Active,Active,Others,business,persona_x_initial_plan,5,100.0
2025-10-01,2025-12-01,2,At-risk,At-risk,Others,business,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Others,free,persona_x_initial_plan,57,98.28
2025-10-01,2025-12-01,2,Active,At-risk,Others,free,persona_x_initial_plan,1,1.72
2025-10-01,2025-12-01,2,At-risk,At-risk,Others,free,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Others,plus,persona_x_initial_plan,27,84.38
2025-10-01,2025-12-01,2,Active,At-risk,Others,plus,persona_x_initial_plan,5,15.63
2025-10-01,2025-12-01,2,At-risk,At-risk,Others,plus,persona_x_initial_plan,2,100.0
2025-10-01,2025-12-01,2,Active,Active,Others,start,persona_x_initial_plan,87,96.67
2025-10-01,2025-12-01,2,Active,At-risk,Others,start,persona_x_initial_plan,3,3.33
2025-10-01,2025-12-01,2,At-risk,At-risk,Others,start,persona_x_initial_plan,2,100.0
2025-10-01,2025-12-01,2,Active,Active,Professeur,free,persona_x_initial_plan,11,91.67
2025-10-01,2025-12-01,2,Active,At-risk,Professeur,free,persona_x_initial_plan,1,8.33
2025-10-01,2025-12-01,2,Active,Active,Professeur,plus,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Professeur,start,persona_x_initial_plan,20,95.24
2025-10-01,2025-12-01,2,Active,At-risk,Professeur,start,persona_x_initial_plan,1,4.76
2025-10-01,2025-12-01,2,Active,Active,Repair,free,persona_x_initial_plan,2,66.67
2025-10-01,2025-12-01,2,Active,At-risk,Repair,free,persona_x_initial_plan,1,33.33
2025-10-01,2025-12-01,2,Active,Active,Repair,plus,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Repair,start,persona_x_initial_plan,4,100.0
2025-10-01,2025-12-01,2,Active,Active,Restauration,free,persona_x_initial_plan,8,88.89
2025-10-01,2025-12-01,2,Active,At-risk,Restauration,free,persona_x_initial_plan,1,11.11
2025-10-01,2025-12-01,2,Active,Active,Restauration,plus,persona_x_initial_plan,11,100.0
2025-10-01,2025-12-01,2,At-risk,Active,Restauration,plus,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Restauration,start,persona_x_initial_plan,7,100.0
2025-10-01,2025-12-01,2,At-risk,At-risk,Retail,business,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Retail,free,persona_x_initial_plan,46,95.83
2025-10-01,2025-12-01,2,Active,At-risk,Retail,free,persona_x_initial_plan,2,4.17
2025-10-01,2025-12-01,2,At-risk,At-risk,Retail,free,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Retail,plus,persona_x_initial_plan,24,96.0
2025-10-01,2025-12-01,2,Active,At-risk,Retail,plus,persona_x_initial_plan,1,4.0
2025-10-01,2025-12-01,2,Active,Active,Retail,start,persona_x_initial_plan,79,96.34
2025-10-01,2025-12-01,2,Active,At-risk,Retail,start,persona_x_initial_plan,3,3.66
2025-10-01,2025-12-01,2,Active,Active,Wholesale,business,persona_x_initial_plan,1,100.0
2025-10-01,2025-12-01,2,Active,Active,Wholesale,free,persona_x_initial_plan,5,83.33
2025-10-01,2025-12-01,2,Active,At-risk,Wholesale,free,persona_x_initial_plan,1,16.67
2025-10-01,2025-12-01,2,Active,Active,Wholesale,plus,persona_x_initial_plan,3,100.0
2025-10-01,2025-12-01,2,Active,Active,Wholesale,start,persona_x_initial_plan,11,84.62
2025-10-01,2025-12-01,2,Active,At-risk,Wholesale,start,persona_x_initial_plan,2,15.38
2025-10-01,2026-01-01,3,Active,Active,ALL,business,initial_plan,22,100.0
2025-10-01,2026-01-01,3,At-risk,At-risk,ALL,business,initial_plan,3,50.0
2025-10-01,2026-01-01,3,At-risk,Churned proxy,ALL,business,initial_plan,3,50.0
2025-10-01,2026-01-01,3,Active,Active,ALL,free,initial_plan,366,97.08
2025-10-01,2026-01-01,3,Active,At-risk,ALL,free,initial_plan,11,2.92
2025-10-01,2026-01-01,3,At-risk,Active,ALL,free,initial_plan,4,12.9
2025-10-01,2026-01-01,3,At-risk,At-risk,ALL,free,initial_plan,16,51.61
2025-10-01,2026-01-01,3,At-risk,Churned proxy,ALL,free,initial_plan,11,35.48
2025-10-01,2026-01-01,3,Never monetized,Never monetized,ALL,free,initial_plan,1,100.0
2025-10-01,2026-01-01,3,Active,Active,ALL,plus,initial_plan,170,92.39
2025-10-01,2026-01-01,3,Active,At-risk,ALL,plus,initial_plan,14,7.61
2025-10-01,2026-01-01,3,At-risk,Active,ALL,plus,initial_plan,2,7.41
