account_health_state,persona,initial_subscription_group,segment_level,companies,cutoff_month_revenue,cumulative_revenue,last_observed_month_revenue,segment_company_share_pct
Churned proxy,Cleaning_CallCenters,ALL,persona,1,0.00000000000000000000,40.52804180463955143000,40.52804180463955143000,1.05
Never monetized,Cleaning_CallCenters,ALL,persona,1,0.00000000000000000000,,,1.05
Healthy revenue account,Consultant,ALL,persona,2844,106963.11714124694561089430,373177.66469025662337641186,106963.11714124694561089430,92.52
Recovered / monitor,Consultant,ALL,persona,22,148.64360740219125545940,802.27499831046878404463,148.64360740219125545940,0.72
At-risk,Consultant,ALL,persona,125,0.00000000000000000000,7222.71619906086852593422,2317.88706773972080544626,4.07
Churned proxy,Consultant,ALL,persona,74,0.00000000000000000000,3535.07428536621553136266,1894.83100543980389772691,2.41
Never monetized,Consultant,ALL,persona,9,0.00000000000000000000,,,0.29
Healthy revenue account,Developer_IT,ALL,persona,1319,54489.90665571268318449671,177347.10075631350646707324,54489.90665571268318449671,91.92
Recovered / monitor,Developer_IT,ALL,persona,17,261.87900361152030024457,1170.48169433833354259317,261.87900361152030024457,1.18
At-risk,Developer_IT,ALL,persona,52,0.00000000000000000000,3478.96854791706353214713,1108.27163396547877469693,3.62
Churned proxy,Developer_IT,ALL,persona,41,0.00000000000000000000,2857.68636841154598042340,2090.54238964352307778246,2.86
Never monetized,Developer_IT,ALL,persona,6,0.00000000000000000000,,,0.42
Healthy revenue account,Media_Publishing,ALL,persona,601,20542.29405505627914615144,69808.69848240461398385383,20542.29405505627914615144,92.89
Recovered / monitor,Media_Publishing,ALL,persona,12,341.37824503616417106530,1082.32329570155412362370,341.37824503616417106530,1.85
At-risk,Media_Publishing,ALL,persona,24,0.00000000000000000000,913.91984779820272400689,216.66338907671213465761,3.71
Churned proxy,Media_Publishing,ALL,persona,9,0.00000000000000000000,272.51550164857673415691,213.96641366665892189731,1.39
Never monetized,Media_Publishing,ALL,persona,1,0.00000000000000000000,,,0.15
Healthy revenue account,Medical_Professionals,ALL,persona,212,6736.92486633728959668950,22311.93310650750300918884,6736.92486633728959668950,95.07
Recovered / monitor,Medical_Professionals,ALL,persona,1,1.62223223342465790000,5.09527998465753503000,1.62223223342465790000,0.45
At-risk,Medical_Professionals,ALL,persona,6,0.00000000000000000000,29.76037435200539345114,9.27138507123287493014,2.69
Churned proxy,Medical_Professionals,ALL,persona,3,0.00000000000000000000,51.28531715071163361000,24.80921698630136975000,1.35
Never monetized,Medical_Professionals,ALL,persona,1,0.00000000000000000000,,,0.45
Healthy revenue account,Others,ALL,persona,2656,84442.74866341671602728162,276168.01688236128764013851,84442.74866341671602728162,90.52
Recovered / monitor,Others,ALL,persona,22,292.05988549095862075208,1767.13917872116287489705,292.05988549095862075208,0.75
At-risk,Others,ALL,persona,144,0.00000000000000000000,10075.24135668562764532476,2708.90083739889964010093,4.91
Churned proxy,Others,ALL,persona,107,0.00000000000000000000,7536.18910492780830233270,4622.97962176234508792784,3.65
Never monetized,Others,ALL,persona,5,0.00000000000000000000,,,0.17
Healthy revenue account,Professeur,ALL,persona,505,12156.12938359078713227362,42792.42681691929708935297,12156.12938359078713227362,92.83
Recovered / monitor,Professeur,ALL,persona,3,31.86625850849311929560,72.85882367639301173660,31.86625850849311929560,0.55
At-risk,Professeur,ALL,persona,20,0.00000000000000000000,1163.15519740967447160548,796.69553650301137427420,3.68
Churned proxy,Professeur,ALL,persona,15,0.00000000000000000000,203.74762912069684791862,137.61144592808375056302,2.76
Never monetized,Professeur,ALL,persona,1,0.00000000000000000000,,,0.18
Healthy revenue account,Repair,ALL,persona,103,2018.78687193720024611340,6833.08012284988035982750,2018.78687193720024611340,85.83
Recovered / monitor,Repair,ALL,persona,1,4.00029823561643835614,4.00029823561643835614,4.00029823561643835614,0.83
At-risk,Repair,ALL,persona,7,0.00000000000000000000,112.21243283999989841330,70.91966029369862453400,5.83
Churned proxy,Repair,ALL,persona,8,0.00000000000000000000,428.27202934701381406893,175.69764056018612883893,6.67
Never monetized,Repair,ALL,persona,1,0.00000000000000000000,,,0.83
Healthy revenue account,Repair_Installation,ALL,persona,37,1968.12928578943254608200,6779.41708922855204135670,1968.12928578943254608200,97.37
At-risk,Repair_Installation,ALL,persona,1,0.00000000000000000000,70.82263863999996320800,11.01212328767123287800,2.63
Healthy revenue account,Restauration,ALL,persona,427,22379.03133984472783220841,72728.31520685832354418721,22379.03133984472783220841,90.66
Recovered / monitor,Restauration,ALL,persona,4,51.15984975780821895950,366.41157160751344410640,51.15984975780821895950,0.85
At-risk,Restauration,ALL,persona,21,0.00000000000000000000,1347.58604226794085109443,219.66744707835599824303,4.46
Churned proxy,Restauration,ALL,persona,17,0.00000000000000000000,1075.79207300548318351715,709.73019335033217001725,3.61
Never monetized,Restauration,ALL,persona,2,0.00000000000000000000,,,0.42
Healthy revenue account,Retail,ALL,persona,2142,74581.03559772881664446345,277946.46177001355419680813,74581.03559772881664446345,89.03
Recovered / monitor,Retail,ALL,persona,23,303.00245081808173894012,1490.70149067680110832721,303.00245081808173894012,0.96
At-risk,Retail,ALL,persona,133,0.00000000000000000000,7793.23945189360634313352,3209.64068962464937447221,5.53
Churned proxy,Retail,ALL,persona,98,0.00000000000000000000,4754.26730791648933050773,2226.05937823772113411668,4.07
Never monetized,Retail,ALL,persona,10,0.00000000000000000000,,,0.42
Healthy revenue account,Wholesale,ALL,persona,398,19771.24104829188382322528,68645.33697159053752709581,19771.24104829188382322528,91.49
Recovered / monitor,Wholesale,ALL,persona,2,34.12679952876702153000,275.49958078573972728760,34.12679952876702153000,0.46
At-risk,Wholesale,ALL,persona,19,0.00000000000000000000,2737.03620092597259589066,576.63069925314979843450,4.37
Churned proxy,Wholesale,ALL,persona,13,0.00000000000000000000,818.47892204198536210403,142.05850692273962937303,2.99
Never monetized,Wholesale,ALL,persona,3,0.00000000000000000000,,,0.69
Healthy revenue account,Automobile_Trade_Repair,business,persona_x_initial_plan,23,4175.30783429587687721613,16975.70592703782166494501,4175.30783429587687721613,88.46
Churned proxy,Automobile_Trade_Repair,business,persona_x_initial_plan,3,0.00000000000000000000,535.51671764008849033400,179.06338255584477233400,11.54
Healthy revenue account,Automobile_Trade_Repair,free,persona_x_initial_plan,178,2602.52075697282806937084,10397.70535965724371318271,2602.52075697282806937084,87.68
At-risk,Automobile_Trade_Repair,free,persona_x_initial_plan,17,0.00000000000000000000,530.19414706849311882687,90.59046765041074898397,8.37
Churned proxy,Automobile_Trade_Repair,free,persona_x_initial_plan,7,0.00000000000000000000,850.83088384491046025996,144.56940464811986904290,3.45
Never monetized,Automobile_Trade_Repair,free,persona_x_initial_plan,1,0.00000000000000000000,,,0.49
Healthy revenue account,Automobile_Trade_Repair,plus,persona_x_initial_plan,144,12414.30775276459162747431,49018.33503244640393363076,12414.30775276459162747431,89.44
Recovered / monitor,Automobile_Trade_Repair,plus,persona_x_initial_plan,2,50.03139189041095889910,240.98739911981735866916,50.03139189041095889910,1.24
At-risk,Automobile_Trade_Repair,plus,persona_x_initial_plan,7,0.00000000000000000000,663.77566515429269852950,262.96750242630076852500,4.35
Churned proxy,Automobile_Trade_Repair,plus,persona_x_initial_plan,8,0.00000000000000000000,1176.48517675271056334750,276.46380886439449502840,4.97
Healthy revenue account,Automobile_Trade_Repair,start,persona_x_initial_plan,310,13121.54678415369900038023,44181.50716676981081401492,13121.54678415369900038023,88.83
At-risk,Automobile_Trade_Repair,start,persona_x_initial_plan,21,0.00000000000000000000,1314.59846482099608776152,793.52022202027119625622,6.02
Churned proxy,Automobile_Trade_Repair,start,persona_x_initial_plan,16,0.00000000000000000000,2568.03209959482035286230,366.31359732931429642240,4.58
Never monetized,Automobile_Trade_Repair,start,persona_x_initial_plan,2,0.00000000000000000000,,,0.57
Healthy revenue account,BTP,business,persona_x_initial_plan,86,18574.25917092157995819191,56212.72975907744158346860,18574.25917092157995819191,82.69
At-risk,BTP,business,persona_x_initial_plan,5,0.00000000000000000000,4983.31609088818028860279,968.66039222684726621279,4.81
Churned proxy,BTP,business,persona_x_initial_plan,13,0.00000000000000000000,2741.61224923249759797670,1524.03367713744402150800,12.5
Healthy revenue account,BTP,free,persona_x_initial_plan,1079,35037.20182471931813082533,135846.18958771102332054506,35037.20182471931813082533,91.6
Recovered / monitor,BTP,free,persona_x_initial_plan,10,44.06405459999995991060,343.73523838410917679040,44.06405459999995991060,0.85
At-risk,BTP,free,persona_x_initial_plan,49,0.00000000000000000000,1583.70141398545159009703,563.96925936931446447473,4.16
Churned proxy,BTP,free,persona_x_initial_plan,34,0.00000000000000000000,2104.17636338042766399404,634.14746146837413565894,2.89
Never monetized,BTP,free,persona_x_initial_plan,6,0.00000000000000000000,,,0.51
Healthy revenue account,BTP,plus,persona_x_initial_plan,546,44828.85117586128507971822,177349.93127959660259654041,44828.85117586128507971822,89.95
Recovered / monitor,BTP,plus,persona_x_initial_plan,8,271.28497988219125914220,1231.63862907788564498110,271.28497988219125914220,1.32
At-risk,BTP,plus,persona_x_initial_plan,27,0.00000000000000000000,3823.98222112471143343622,1493.86787528711914840122,4.45
Churned proxy,BTP,plus,persona_x_initial_plan,26,0.00000000000000000000,1525.43627310142035676643,718.15483612447417522717,4.28
Healthy revenue account,BTP,start,persona_x_initial_plan,1164,54726.80917440046927465110,202107.14825631221162580676,54726.80917440046927465110,92.97
Recovered / monitor,BTP,start,persona_x_initial_plan,2,22.00449590794520548000,44.02722820000000000140,22.00449590794520548000,0.16
At-risk,BTP,start,persona_x_initial_plan,48,0.00000000000000000000,5068.68059855522624941505,983.83619225588842356200,3.83
Churned proxy,BTP,start,persona_x_initial_plan,36,0.00000000000000000000,2607.83766917307751729294,505.30687767977527806614,2.88
Never monetized,BTP,start,persona_x_initial_plan,2,0.00000000000000000000,,,0.16
Healthy revenue account,Bankers_Insurance,business,persona_x_initial_plan,1,80.09512865534246577000,80.09512865534246577000,80.09512865534246577000,100.0
Healthy revenue account,Bankers_Insurance,free,persona_x_initial_plan,141,6293.98782503787410314508,21740.45749366714039194053,6293.98782503787410314508,89.81
Recovered / monitor,Bankers_Insurance,free,persona_x_initial_plan,4,12.04796459178082287000,111.15771701780679388700,12.04796459178082287000,2.55
At-risk,Bankers_Insurance,free,persona_x_initial_plan,4,0.00000000000000000000,5.48522801753424735220,2.58492166136986315620,2.55
Churned proxy,Bankers_Insurance,free,persona_x_initial_plan,7,0.00000000000000000000,430.37875964517013175210,281.08858745753424775167,4.46
Never monetized,Bankers_Insurance,free,persona_x_initial_plan,1,0.00000000000000000000,,,0.64
Healthy revenue account,Bankers_Insurance,plus,persona_x_initial_plan,14,1916.14675202958637132430,6386.39100415550168955375,1916.14675202958637132430,93.33
At-risk,Bankers_Insurance,plus,persona_x_initial_plan,1,0.00000000000000000000,1.38033540438355525200,1.38033540438355525200,6.67
Healthy revenue account,Bankers_Insurance,start,persona_x_initial_plan,97,3129.49226005062567432130,11910.39393803035174100432,3129.49226005062567432130,94.17
At-risk,Bankers_Insurance,start,persona_x_initial_plan,2,0.00000000000000000000,99.39412602739724243000,35.18099178082190764000,1.94
Churned proxy,Bankers_Insurance,start,persona_x_initial_plan,3,0.00000000000000000000,180.71347655549579998000,33.88464573357799169000,2.91
Never monetized,Bankers_Insurance,start,persona_x_initial_plan,1,0.00000000000000000000,,,0.97
Healthy revenue account,Bikers_Drivers,business,persona_x_initial_plan,26,4216.91484693368885474120,16959.41284805980064334760,4216.91484693368885474120,68.42
Recovered / monitor,Bikers_Drivers,business,persona_x_initial_plan,1,24.39047084821917117000,39.26309749698623749000,24.39047084821917117000,2.63
At-risk,Bikers_Drivers,business,persona_x_initial_plan,3,0.00000000000000000000,243.17067506739724545130,161.77021527890410178900,7.89
Churned proxy,Bikers_Drivers,business,persona_x_initial_plan,7,0.00000000000000000000,1348.68609865281769086858,493.12007719750017786520,18.42
Never monetized,Bikers_Drivers,business,persona_x_initial_plan,1,0.00000000000000000000,,,2.63
Healthy revenue account,Bikers_Drivers,free,persona_x_initial_plan,298,4191.66592460327616192833,15121.66281071806776723532,4191.66592460327616192833,82.55
Recovered / monitor,Bikers_Drivers,free,persona_x_initial_plan,6,59.51833566082179178091,853.60639807430967609109,59.51833566082179178091,1.66
At-risk,Bikers_Drivers,free,persona_x_initial_plan,24,0.00000000000000000000,1670.11148437363821615797,312.00058634630117515205,6.65
Churned proxy,Bikers_Drivers,free,persona_x_initial_plan,31,0.00000000000000000000,1188.57442864236342491624,659.24850552002672523532,8.59
Never monetized,Bikers_Drivers,free,persona_x_initial_plan,2,0.00000000000000000000,,,0.55
Healthy revenue account,Bikers_Drivers,plus,persona_x_initial_plan,137,9291.05740501391895575939,28891.03772168930867573809,9291.05740501391895575939,78.74
At-risk,Bikers_Drivers,plus,persona_x_initial_plan,14,0.00000000000000000000,1698.44943949757371026886,257.96399167342444295990,8.05
Churned proxy,Bikers_Drivers,plus,persona_x_initial_plan,21,0.00000000000000000000,3219.67336388810593678538,1541.83122101872383840068,12.07
Never monetized,Bikers_Drivers,plus,persona_x_initial_plan,2,0.00000000000000000000,,,1.15
Healthy revenue account,Bikers_Drivers,start,persona_x_initial_plan,406,12948.82461035841480510547,40820.57601944624946332201,12948.82461035841480510547,85.29
Recovered / monitor,Bikers_Drivers,start,persona_x_initial_plan,7,149.81156173150635832457,297.54591346969528803052,149.81156173150635832457,1.47
At-risk,Bikers_Drivers,start,persona_x_initial_plan,32,0.00000000000000000000,2327.47857167895568318492,747.57673076438189048193,6.72
Churned proxy,Bikers_Drivers,start,persona_x_initial_plan,30,0.00000000000000000000,1179.82193996668907394440,486.18790686649682360130,6.3
Never monetized,Bikers_Drivers,start,persona_x_initial_plan,1,0.00000000000000000000,,,0.21
Healthy revenue account,Cleaning_CallCenters,business,persona_x_initial_plan,2,185.80412370410946413000,692.22723338295819339700,185.80412370410946413000,100.0
Healthy revenue account,Cleaning_CallCenters,free,persona_x_initial_plan,34,260.64691776164322768770,1177.60910774586640739832,260.64691776164322768770,97.14
At-risk,Cleaning_CallCenters,free,persona_x_initial_plan,1,0.00000000000000000000,0.05515068493150685600,0.05515068493150685600,2.86
Healthy revenue account,Cleaning_CallCenters,plus,persona_x_initial_plan,16,896.06651957917661460315,4213.46195642436568361868,896.06651957917661460315,88.89
At-risk,Cleaning_CallCenters,plus,persona_x_initial_plan,1,0.00000000000000000000,374.00055837257008986740,30.58618708712309166100,5.56
Never monetized,Cleaning_CallCenters,plus,persona_x_initial_plan,1,0.00000000000000000000,,,5.56
Healthy revenue account,Cleaning_CallCenters,start,persona_x_initial_plan,37,1033.85800127506581091850,3411.50607765441394068750,1033.85800127506581091850,92.5
At-risk,Cleaning_CallCenters,start,persona_x_initial_plan,2,0.00000000000000000000,36.24163183780821176165,19.59003169260274256165,5.0
Churned proxy,Cleaning_CallCenters,start,persona_x_initial_plan,1,0.00000000000000000000,40.52804180463955143000,40.52804180463955143000,2.5
Healthy revenue account,Consultant,business,persona_x_initial_plan,25,4105.99082373642739153140,10197.77148632067682174626,4105.99082373642739153140,80.65
At-risk,Consultant,business,persona_x_initial_plan,2,0.00000000000000000000,102.86296343780822121200,102.48948850301370059000,6.45
Churned proxy,Consultant,business,persona_x_initial_plan,4,0.00000000000000000000,468.75247393374173509560,463.94178056387872059560,12.9
Healthy revenue account,Consultant,free,persona_x_initial_plan,1272,25117.58375634511162611182,94185.77730857757630538534,25117.58375634511162611182,91.05
Recovered / monitor,Consultant,free,persona_x_initial_plan,15,116.68853249862963218250,384.07570762684840230840,116.68853249862963218250,1.07
At-risk,Consultant,free,persona_x_initial_plan,71,0.00000000000000000000,1758.34342229536109191489,431.71095723835530759289,5.08
Churned proxy,Consultant,free,persona_x_initial_plan,33,0.00000000000000000000,1082.56878665517343788195,736.15337076065306136704,2.36
Never monetized,Consultant,free,persona_x_initial_plan,6,0.00000000000000000000,,,0.43
Healthy revenue account,Consultant,plus,persona_x_initial_plan,207,19710.20238834990223222300,65179.25953837021939524387,19710.20238834990223222300,89.22
Recovered / monitor,Consultant,plus,persona_x_initial_plan,1,25.00424104328767123400,132.35986379471630107590,25.00424104328767123400,0.43
At-risk,Consultant,plus,persona_x_initial_plan,14,0.00000000000000000000,2396.59541117650853912431,1215.46726894903695151391,6.03
Churned proxy,Consultant,plus,persona_x_initial_plan,10,0.00000000000000000000,1199.04083545542071912470,397.87621787443641631330,4.31
Healthy revenue account,Consultant,start,persona_x_initial_plan,1340,58029.34017281550436102808,203614.85635698815085403639,58029.34017281550436102808,94.77
Recovered / monitor,Consultant,start,persona_x_initial_plan,6,6.95083386027395204290,285.83942688890408066033,6.95083386027395204290,0.42
At-risk,Consultant,start,persona_x_initial_plan,38,0.00000000000000000000,2964.91440215119067368302,568.21935304931484574946,2.69
Churned proxy,Consultant,start,persona_x_initial_plan,27,0.00000000000000000000,784.71218932187963926041,296.85963624083569945097,1.91
Never monetized,Consultant,start,persona_x_initial_plan,3,0.00000000000000000000,,,0.21
Healthy revenue account,Developer_IT,business,persona_x_initial_plan,17,1731.60623687287314906609,4564.66956142566192610884,1731.60623687287314906609,80.95
At-risk,Developer_IT,business,persona_x_initial_plan,3,0.00000000000000000000,248.97481084821914323700,246.20980171616436024500,14.29
Churned proxy,Developer_IT,business,persona_x_initial_plan,1,0.00000000000000000000,1435.22138447044354500000,1435.22138447044354500000,4.76
Healthy revenue account,Developer_IT,free,persona_x_initial_plan,591,18552.09382143669100818875,55419.10394154597663832754,18552.09382143669100818875,90.37
Recovered / monitor,Developer_IT,free,persona_x_initial_plan,7,26.89463128164377965400,278.42415996334821835500,26.89463128164377965400,1.07
At-risk,Developer_IT,free,persona_x_initial_plan,30,0.00000000000000000000,878.04206011918554096325,484.18471288328711226105,4.59
Churned proxy,Developer_IT,free,persona_x_initial_plan,26,0.00000000000000000000,578.98088797594653614466,342.97706445394011946566,3.98
Healthy revenue account,Developer_IT,plus,persona_x_initial_plan,104,8820.71207670345483468303,27502.72311193907828884833,8820.71207670345483468303,87.39
Recovered / monitor,Developer_IT,plus,persona_x_initial_plan,1,25.30957427178082028900,30.07073809095888421900,25.30957427178082028900,0.84
At-risk,Developer_IT,plus,persona_x_initial_plan,6,0.00000000000000000000,1164.37561274011692804960,156.71249022356164012960,5.04
Churned proxy,Developer_IT,plus,persona_x_initial_plan,6,0.00000000000000000000,523.00830702358943436580,103.98357513863013891580,5.04
Never monetized,Developer_IT,plus,persona_x_initial_plan,2,0.00000000000000000000,,,1.68
Healthy revenue account,Developer_IT,start,persona_x_initial_plan,607,25385.49452069966419255884,89860.60414140278961378853,25385.49452069966419255884,94.7
Recovered / monitor,Developer_IT,start,persona_x_initial_plan,9,209.67479805809570030157,861.98679628402644001917,209.67479805809570030157,1.4
At-risk,Developer_IT,start,persona_x_initial_plan,13,0.00000000000000000000,1187.57606420954191989728,221.16462914246566206128,2.03
Churned proxy,Developer_IT,start,persona_x_initial_plan,8,0.00000000000000000000,320.47578894156646491294,208.36036558050927440100,1.25
Never monetized,Developer_IT,start,persona_x_initial_plan,4,0.00000000000000000000,,,0.62
Healthy revenue account,Media_Publishing,business,persona_x_initial_plan,3,305.53812320054721108800,948.42507225948432894600,305.53812320054721108800,75.0
At-risk,Media_Publishing,business,persona_x_initial_plan,1,0.00000000000000000000,80.23288439671232791618,80.00018859561643835618,25.0
Healthy revenue account,Media_Publishing,free,persona_x_initial_plan,266,3735.19354486081478098823,12851.49014207657012177836,3735.19354486081478098823,91.72
Recovered / monitor,Media_Publishing,free,persona_x_initial_plan,6,69.62466703013690480730,215.05938624556342299570,69.62466703013690480730,2.07
At-risk,Media_Publishing,free,persona_x_initial_plan,13,0.00000000000000000000,171.39135977917797124000,35.23218332767113212886,4.48
Churned proxy,Media_Publishing,free,persona_x_initial_plan,5,0.00000000000000000000,0.98658441808219200728,0.66545836493150706768,1.72
Healthy revenue account,Media_Publishing,plus,persona_x_initial_plan,35,4042.11395825697505212380,13813.25493735848942455418,4042.11395825697505212380,89.74
Recovered / monitor,Media_Publishing,plus,persona_x_initial_plan,2,205.25022498739726029000,721.16368912986301585800,205.25022498739726029000,5.13
At-risk,Media_Publishing,plus,persona_x_initial_plan,1,0.00000000000000000000,224.53131874964287495050,0.00046524054794520550,2.56
Churned proxy,Media_Publishing,plus,persona_x_initial_plan,1,0.00000000000000000000,25.03372435104248640533,25.03372435104248640533,2.56
Healthy revenue account,Media_Publishing,start,persona_x_initial_plan,297,12459.44842873794210195141,42195.52833071007010857529,12459.44842873794210195141,94.59
Recovered / monitor,Media_Publishing,start,persona_x_initial_plan,4,66.50335301863000596800,146.10022032612768477000,66.50335301863000596800,1.27
At-risk,Media_Publishing,start,persona_x_initial_plan,9,0.00000000000000000000,437.76428487266954990021,101.43055191287661896707,2.87
Churned proxy,Media_Publishing,start,persona_x_initial_plan,3,0.00000000000000000000,246.49519287945205574430,188.26723095068492842430,0.96
Never monetized,Media_Publishing,start,persona_x_initial_plan,1,0.00000000000000000000,,,0.32
Healthy revenue account,Medical_Professionals,free,persona_x_initial_plan,95,1751.97473070903902477100,5407.24212709632150606484,1751.97473070903902477100,95.96
Recovered / monitor,Medical_Professionals,free,persona_x_initial_plan,1,1.62223223342465790000,5.09527998465753503000,1.62223223342465790000,1.01
At-risk,Medical_Professionals,free,persona_x_initial_plan,3,0.00000000000000000000,29.72672859858073591220,9.23773931780821739120,3.03
Healthy revenue account,Medical_Professionals,plus,persona_x_initial_plan,9,1655.47100242903782300000,6920.96053812213249987957,1655.47100242903782300000,90.0
At-risk,Medical_Professionals,plus,persona_x_initial_plan,1,0.00000000000000000000,0.01323726027397260400,0.01323726027397260400,10.0
Healthy revenue account,Medical_Professionals,start,persona_x_initial_plan,108,3329.47913319921274891850,9983.73044128904900324443,3329.47913319921274891850,94.74
At-risk,Medical_Professionals,start,persona_x_initial_plan,2,0.00000000000000000000,0.02040849315068493494,0.02040849315068493494,1.75
Churned proxy,Medical_Professionals,start,persona_x_initial_plan,3,0.00000000000000000000,51.28531715071163361000,24.80921698630136975000,2.63
Never monetized,Medical_Professionals,start,persona_x_initial_plan,1,0.00000000000000000000,,,0.88
Healthy revenue account,Others,business,persona_x_initial_plan,34,4273.16308262191286015476,13696.05189435636450800908,4273.16308262191286015476,53.97
At-risk,Others,business,persona_x_initial_plan,11,0.00000000000000000000,3018.05966646569440726493,716.26917883013688092123,17.46
Churned proxy,Others,business,persona_x_initial_plan,17,0.00000000000000000000,3400.09904088706416545400,2680.33665941274668440400,26.98
