signup_month,persona,initial_subscription_group,segment_level,eligible_signups,validated_within_30d,activated_within_30d,pre_activation_closed_within_30d,signup_to_validation_dropout_pct,validation_to_activation_dropout_pct,total_signup_to_activation_dropout_pct,pre_activation_closure_rate_pct
2025-12-01,Wholesale,start,persona_x_initial_plan,55,28,18,0,49.1,35.7,67.3,0.0
2026-01-01,ALL,business,initial_plan,145,55,39,4,62.1,29.1,73.1,2.8
2026-01-01,ALL,free,initial_plan,2274,1524,800,80,33.0,47.5,64.8,3.5
2026-01-01,ALL,plus,initial_plan,670,387,282,33,42.2,27.1,57.9,4.9
2026-01-01,ALL,start,initial_plan,2367,1429,943,144,39.6,34.0,60.2,6.1
2026-01-01,ALL,ALL,overall,5456,3395,2064,261,37.8,39.2,62.2,4.8
2026-01-01,Automobile_Trade_Repair,ALL,persona,241,155,95,7,35.7,38.7,60.6,2.9
2026-01-01,BTP,ALL,persona,1070,605,384,22,43.5,36.5,64.1,2.1
2026-01-01,Bankers_Insurance,ALL,persona,73,51,42,1,30.1,17.6,42.5,1.4
2026-01-01,Bikers_Drivers,ALL,persona,369,232,119,7,37.1,48.7,67.8,1.9
2026-01-01,Cleaning_CallCenters,ALL,persona,28,22,15,0,21.4,31.8,46.4,0.0
2026-01-01,Consultant,ALL,persona,788,565,346,11,28.3,38.8,56.1,1.4
2026-01-01,Developer_IT,ALL,persona,357,246,152,8,31.1,38.2,57.4,2.2
2026-01-01,Media_Publishing,ALL,persona,152,112,68,3,26.3,39.3,55.3,2.0
2026-01-01,Medical_Professionals,ALL,persona,54,45,30,5,16.7,33.3,44.4,9.3
2026-01-01,Others,ALL,persona,1182,609,354,171,48.5,41.9,70.1,14.5
2026-01-01,Professeur,ALL,persona,140,103,52,5,26.4,49.5,62.9,3.6
2026-01-01,Repair,ALL,persona,37,28,16,0,24.3,42.9,56.8,0.0
2026-01-01,Repair_Installation,ALL,persona,13,8,6,0,38.5,25.0,53.8,0.0
2026-01-01,Restauration,ALL,persona,146,83,54,1,43.2,34.9,63.0,0.7
2026-01-01,Retail,ALL,persona,657,446,275,14,32.1,38.3,58.1,2.1
2026-01-01,Wholesale,ALL,persona,149,85,56,6,43.0,34.1,62.4,4.0
2026-01-01,Automobile_Trade_Repair,business,persona_x_initial_plan,4,1,1,0,75.0,0.0,75.0,0.0
2026-01-01,Automobile_Trade_Repair,free,persona_x_initial_plan,83,49,29,3,41.0,40.8,65.1,3.6
2026-01-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,45,33,27,1,26.7,18.2,40.0,2.2
2026-01-01,Automobile_Trade_Repair,start,persona_x_initial_plan,109,72,38,3,33.9,47.2,65.1,2.8
2026-01-01,BTP,business,persona_x_initial_plan,48,16,13,0,66.7,18.8,72.9,0.0
2026-01-01,BTP,free,persona_x_initial_plan,412,265,154,14,35.7,41.9,62.6,3.4
2026-01-01,BTP,plus,persona_x_initial_plan,183,89,69,2,51.4,22.5,62.3,1.1
2026-01-01,BTP,start,persona_x_initial_plan,427,235,148,6,45.0,37.0,65.3,1.4
2026-01-01,Bankers_Insurance,business,persona_x_initial_plan,3,0,0,0,100.0,,100.0,0.0
2026-01-01,Bankers_Insurance,free,persona_x_initial_plan,43,33,26,1,23.3,21.2,39.5,2.3
2026-01-01,Bankers_Insurance,plus,persona_x_initial_plan,3,3,3,0,0.0,0.0,0.0,0.0
