persona,initial_subscription_group,segment_level,eligible_for_1_month_inactivity,inactive_for_at_least_1_month,eligible_for_2_month_inactivity,inactive_for_at_least_2_months,eligible_for_3_month_inactivity,inactive_for_at_least_3_months,sustained_1_month_inactivity_rate_pct,sustained_2_month_inactivity_rate_pct,sustained_3_month_inactivity_rate_pct
Professeur,start,persona_x_initial_plan,222,11,181,8,135,5,4.95,4.42,3.7
Repair,business,persona_x_initial_plan,1,1,1,1,1,1,100.0,100.0,100.0
Repair,free,persona_x_initial_plan,51,10,40,7,33,5,19.61,17.5,15.15
Repair,plus,persona_x_initial_plan,10,1,8,1,6,0,10.0,12.5,0.0
Repair,start,persona_x_initial_plan,35,3,31,3,29,2,8.57,9.68,6.9
Repair_Installation,business,persona_x_initial_plan,1,0,0,0,0,0,0.0,,
Repair_Installation,free,persona_x_initial_plan,11,0,8,0,8,0,0.0,0.0,0.0
Repair_Installation,plus,persona_x_initial_plan,4,0,4,0,4,0,0.0,0.0,0.0
Repair_Installation,start,persona_x_initial_plan,17,1,16,0,14,0,5.88,0.0,0.0
Restauration,business,persona_x_initial_plan,3,1,2,1,2,1,33.33,50.0,50.0
Restauration,free,persona_x_initial_plan,138,17,122,11,91,8,12.32,9.02,8.79
Restauration,plus,persona_x_initial_plan,70,5,60,3,48,2,7.14,5.0,4.17
Restauration,start,persona_x_initial_plan,176,15,145,10,104,6,8.52,6.9,5.77
Retail,business,persona_x_initial_plan,26,10,22,7,14,3,38.46,31.82,21.43
Retail,free,persona_x_initial_plan,806,83,680,56,488,29,10.3,8.24,5.94
Retail,plus,persona_x_initial_plan,242,40,213,32,173,21,16.53,15.02,12.14
Retail,start,persona_x_initial_plan,934,98,782,69,574,45,10.49,8.82,7.84
Wholesale,business,persona_x_initial_plan,14,2,12,1,11,0,14.29,8.33,0.0
Wholesale,free,persona_x_initial_plan,102,12,81,8,55,4,11.76,9.88,7.27
Wholesale,plus,persona_x_initial_plan,77,6,63,6,47,5,7.79,9.52,10.64
Wholesale,start,persona_x_initial_plan,162,12,138,9,95,4,7.41,6.52,4.21
