persona,initial_subscription_group,segment_level,revenue_companies,top_20pct_companies,segment_total_revenue,top_20pct_revenue,segment_top_20pct_penetration_pct,top_20pct_company_mix_pct,base_revenue_company_mix_pct,company_representation_index,top_20pct_share_of_segment_revenue_pct,share_of_all_top_20pct_revenue_pct
Consultant,start,persona_x_initial_plan,1411,297,207650.32237535012524764015,147114.71938197638019227195,21.05,8.45,8.03,1.05,70.85,8.46
Retail,start,persona_x_initial_plan,1097,193,148614.57127777996334894575,102132.03104961131576616169,17.59,5.49,6.24,0.88,68.72,5.88
Others,start,persona_x_initial_plan,1316,189,134926.28023499978291985483,78176.46513027438882350160,14.36,5.38,7.49,0.72,57.94,4.5
BTP,free,persona_x_initial_plan,1172,180,139877.80260346101175142653,109841.27194137147130393203,15.36,5.12,6.67,0.77,78.53,6.32
Developer_IT,start,persona_x_initial_plan,637,160,92230.64279083792443861792,64759.60902503340778602803,25.12,4.55,3.63,1.26,70.21,3.73
Consultant,free,persona_x_initial_plan,1391,131,97410.76522515495923749058,60049.87922778133156262853,9.42,3.73,7.92,0.47,61.65,3.46
Others,plus,persona_x_initial_plan,397,131,81530.04034878401145381362,63914.04849614792295506033,33.0,3.73,2.26,1.65,78.39,3.68
Retail,plus,persona_x_initial_plan,285,123,81484.35125746845981115598,70303.84643119226609829794,43.16,3.5,1.62,2.16,86.28,4.04
Consultant,plus,persona_x_initial_plan,232,102,68907.25564879686495456878,59186.70626576104800649870,43.97,2.9,1.32,2.2,85.89,3.41
Developer_IT,free,persona_x_initial_plan,654,94,57154.55104960445693379045,39599.74876006011822482756,14.37,2.68,3.72,0.72,69.29,2.28
Others,free,persona_x_initial_plan,1154,90,58976.05533720296900829656,31162.48548947443599903476,7.8,2.56,6.57,0.39,52.84,1.79
Automobile_Trade_Repair,plus,persona_x_initial_plan,161,77,51099.58327347322455417692,45364.11467082223080153160,47.83,2.19,0.92,2.39,88.78,2.61
BTP,business,persona_x_initial_plan,104,76,63937.65809919811947004809,61949.25114419865197156458,73.08,2.16,0.59,3.65,96.89,3.56
Bikers_Drivers,start,persona_x_initial_plan,475,75,44625.42244456158950848185,25100.53295619351225632476,15.79,2.13,2.7,0.79,56.25,1.44
Retail,free,persona_x_initial_plan,982,75,51596.43071030438064921709,28303.46203362363422509695,7.64,2.13,5.59,0.38,54.86,1.63
Automobile_Trade_Repair,start,persona_x_initial_plan,347,69,48064.13773118562725463874,33642.78186890740671080490,19.88,1.96,1.98,0.99,70.0,1.94
Bikers_Drivers,plus,persona_x_initial_plan,172,69,33809.16052507498832279233,25849.13036492818615094185,40.12,1.96,0.98,2.01,76.46,1.49
Media_Publishing,start,persona_x_initial_plan,313,65,43025.88802878831939898980,30496.34840958728846921470,20.77,1.85,1.78,1.04,70.88,1.75
Restauration,start,persona_x_initial_plan,232,57,30289.37398705050541795825,21415.69618035077783987167,24.57,1.62,1.32,1.23,70.7,1.23
Developer_IT,plus,persona_x_initial_plan,117,48,29220.17776979374353548273,23721.99056207143954170493,41.03,1.37,0.67,2.05,81.18,1.36
Restauration,plus,persona_x_initial_plan,77,41,32970.05491769663568758568,30001.02098485051731239310,53.25,1.17,0.44,2.66,90.99,1.73
Wholesale,plus,persona_x_initial_plan,91,41,27392.76962048254726270936,23792.79764144731148839112,45.05,1.17,0.52,2.25,86.86,1.37
Others,business,persona_x_initial_plan,62,40,20114.21060170912308072801,18462.55076116657160508801,64.52,1.14,0.35,3.23,91.79,1.06
Professeur,start,persona_x_initial_plan,257,36,25739.46183717089824768640,14174.44856463876711370104,14.01,1.02,1.46,0.7,55.07,0.82
Wholesale,start,persona_x_initial_plan,189,33,28322.80244807199451649708,19385.36827091673318889687,17.46,0.94,1.08,0.87,68.44,1.12
Bankers_Insurance,free,persona_x_initial_plan,156,25,22287.47919834765156493183,16647.85262539398279080233,16.03,0.71,0.89,0.8,74.7,0.96
Automobile_Trade_Repair,free,persona_x_initial_plan,202,24,11778.73039057064729226954,7085.09159280280969959817,11.88,0.68,1.15,0.59,60.15,0.41
Bikers_Drivers,free,persona_x_initial_plan,359,24,18833.95512180837908440062,7642.48321091124162586287,6.69,0.68,2.04,0.33,40.58,0.44
Media_Publishing,plus,persona_x_initial_plan,39,22,14783.98366958903780176801,13877.80095751306413582968,56.41,0.63,0.22,2.82,93.87,0.8
Bikers_Drivers,business,persona_x_initial_plan,37,21,18590.53271927700181715748,17321.48241351135616885440,56.76,0.6,0.21,2.84,93.17,1.0
Consultant,business,persona_x_initial_plan,31,21,10769.38692369222677805386,10097.67816940040552992126,67.74,0.6,0.18,3.39,93.76,0.58
Medical_Professionals,start,persona_x_initial_plan,113,19,10035.03616693291132178937,5352.36811998144616898100,16.81,0.54,0.64,0.84,53.34,0.31
Restauration,free,persona_x_initial_plan,157,19,11646.86734450809516340126,7056.03296335318862141850,12.1,0.54,0.89,0.61,60.58,0.41
Automobile_Trade_Repair,business,persona_x_initial_plan,26,18,17511.22264467791015527901,16967.04289973464713153081,69.23,0.51,0.15,3.46,96.89,0.98
Professeur,free,persona_x_initial_plan,249,17,8776.49691236843426109272,4533.47320057021417098070,6.83,0.48,1.42,0.34,51.65,0.26
Retail,business,persona_x_initial_plan,32,16,10289.31677494764716945777,9058.12088826179453696186,50.0,0.46,0.18,2.5,88.03,0.52
Media_Publishing,free,persona_x_initial_plan,290,15,13238.92747251939370802134,5630.44970041693774299260,5.17,0.43,1.65,0.26,42.53,0.32
Wholesale,free,persona_x_initial_plan,133,15,9503.27246014219814848126,6299.51555250712463373866,11.28,0.43,0.76,0.56,66.29,0.36
Professeur,plus,persona_x_initial_plan,33,14,7748.17930881822359056575,6330.12796765562603064748,42.42,0.4,0.19,2.12,81.7,0.36
Wholesale,business,persona_x_initial_plan,19,14,7257.50714664749528469040,7008.72103497242713350040,73.68,0.4,0.11,3.68,96.57,0.4
Bankers_Insurance,start,persona_x_initial_plan,102,13,12190.50154061324478341432,7087.73748988720616874000,12.75,0.37,0.58,0.64,58.14,0.41
Developer_IT,business,persona_x_initial_plan,21,12,6248.86575674432461434584,5660.30613565829786599884,57.14,0.34,0.12,2.86,90.58,0.33
Bankers_Insurance,plus,persona_x_initial_plan,15,8,6387.77133955988524480575,6048.10387723714617068000,53.33,0.23,0.09,2.67,94.68,0.35
Cleaning_CallCenters,plus,persona_x_initial_plan,17,8,4587.46251479693577348608,3937.26068469885411775868,47.06,0.23,0.1,2.35,85.83,0.23
Cleaning_CallCenters,start,persona_x_initial_plan,40,6,3488.27575129686170387915,1853.63721656579416890400,15.0,0.17,0.23,0.75,53.14,0.11
Medical_Professionals,free,persona_x_initial_plan,99,6,5442.06413567955977700704,2986.77186472397269060200,6.06,0.17,0.56,0.3,54.88,0.17
Repair,start,persona_x_initial_plan,44,6,3738.81479201454893496500,1727.17322740282354505700,13.64,0.17,0.25,0.68,46.2,0.1
Repair_Installation,start,persona_x_initial_plan,19,6,3192.68206696258469011000,2263.80506697720242891300,31.58,0.17,0.11,1.58,70.91,0.13
Medical_Professionals,plus,persona_x_initial_plan,10,5,6920.97377538240647248357,6430.34253124896135802600,50.0,0.14,0.06,2.5,92.91,0.37
Repair,free,persona_x_initial_plan,62,5,2230.03767261464612130517,1255.50769282232632044000,8.06,0.14,0.35,0.4,56.3,0.07
Professeur,business,persona_x_initial_plan,4,3,1968.05040876850532126880,1867.56578460180063853880,75.0,0.09,0.02,3.75,94.89,0.11
Repair,plus,persona_x_initial_plan,12,3,1268.37750903052651839570,608.95856349022835752010,25.0,0.09,0.07,1.25,48.01,0.04
Repair_Installation,free,persona_x_initial_plan,12,3,1347.04967670995650420570,953.89387196529978182000,25.0,0.09,0.07,1.25,70.81,0.05
Repair_Installation,plus,persona_x_initial_plan,6,3,2149.85786518231218012900,2021.97594341628479390000,50.0,0.09,0.03,2.5,94.05,0.12
Cleaning_CallCenters,business,persona_x_initial_plan,2,2,692.22723338295819339700,692.22723338295819339700,100.0,0.06,0.01,5.0,100.0,0.04
Media_Publishing,business,persona_x_initial_plan,4,2,1028.65795665619665686218,897.59619611975855074600,50.0,0.06,0.02,2.5,87.26,0.05
Cleaning_CallCenters,free,persona_x_initial_plan,35,1,1177.66425843079791425432,254.32097340602719408000,2.86,0.03,0.2,0.14,21.6,0.01
Restauration,business,persona_x_initial_plan,3,1,611.80864448402475396000,339.83300564164373556000,33.33,0.03,0.02,1.67,55.55,0.02
Bankers_Insurance,business,persona_x_initial_plan,1,0,80.09512865534246577000,,0.0,0.0,0.01,0.0,0.0,0.0
Repair,business,persona_x_initial_plan,1,0,140.33490961278893600000,,0.0,0.0,0.01,0.0,0.0,0.0
Repair_Installation,business,persona_x_initial_plan,1,0,160.65011901369863012000,,0.0,0.0,0.01,0.0,0.0,0.0
